Player,Model:,PB3,TVB,actual performance
Andrew Robertson,,better,better,better
Diego Rico,,better,worse,worse
Josip Drmic,,better,better,better
Dominic Calvert-Lewin,,better,worse,better
Shkodran Mustafi,,,,worse
Kyle Walker,,better,better,better
Billy Sharp,,better,worse,worse
Dean Henderson,,better,better,better
Romelu Lukaku,,worse,worse,worse
Hugo Lloris,,better,better,better
Paul Dummett,,better,better,better
Tyrone Mings,,better,better,better
Adam Smith,,better,better,better
Kasper Schmeichel,,better,better,better
David de Gea,,better,better,better
Andreas Christensen,,better,worse,worse
Seamus Coleman,,better,better,better
Rob Holding,,worse,worse,worse
Ainsley Maitland-Niles,,better,better,better
Matt Doherty,,better,worse,worse
Max Kilman,,worse,worse,worse
Daniel Amartey,,worse,worse,worse
Jacob Murphy,,worse,worse,worse
Pedro Lomba Neto,,better,better,worse
Luke Amos,,worse,worse,worse
James Justin,,worse,worse,worse
Mason Greenwood,,better,better,better
Lewis Cook,,worse,worse,worse
Anthony Martial,,better,worse,worse
Matty James,,worse,worse,worse
Jan Vertonghen,,better,better,better
Idrissa Gueye,,worse,worse,worse
Moussa Djenepo,,better,worse,worse
Bamidele Alli,,better,better,better
Ilkay Gündogan,,better,better,better
Eric Dier,,worse,worse,worse
Charlie Austin,,worse,worse,worse
Danny Ings,,better,better,better
Ademola Lookman,,worse,worse,worse
David Brooks,,worse,worse,worse
Scott Dann,,better,worse,worse
Christoph Zimmermann,,better,better,better
Mateo Kovacic,,better,better,better
Connor Wickham,,better,worse,worse
Nemanja Matic,,better,better,better
Ayoze Pérez,,better,worse,worse
Theo Walcott,,worse,worse,worse
Leon Balogun,,worse,worse,worse
Callum Slattery,,worse,worse,worse
Patrick Cutrone,,better,better,better
Todd Cantwell,,better,better,better
Mahmoud Ahmed Ibrahim Hassan,,worse,better,worse
Matthew Clarke,,worse,worse,worse
Juan Foyth,,worse,worse,worse
Sofiane Boufal,,better,better,better
Muhamed Bešić,,worse,worse,worse
Heung-Min Son,,better,better,better
Gylfi Sigurdsson,,better,better,better
Morgan Gibbs-White,,better,worse,worse
Jamie Vardy,,better,better,better
Kayne Ramsay,,worse,worse,worse
Yves Bissouma,,worse,worse,worse
Kenny McLean,,better,better,better
Ryan Bennett,,better,better,worse
John Ruddy,,worse,worse,worse
Georges-Kévin Nkoudou,,better,worse,worse
Jack Simpson,,worse,worse,worse
Angus Gunn,,better,better,better
